bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Mitte,10000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1246
Pankow,550,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1248
Spandau,760,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1249
Treptow-Köpenick,490,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1250
Marzahn-Hellersdorf,1100,M2 - Mischgebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1251
Treptow-Köpenick,800,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1253
Mitte,10000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1256
Spandau,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1257
Spandau,800,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1258
Treptow-Köpenick,550,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1259
Pankow,700,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1262
Mitte,9500,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1263
Treptow-Köpenick,460,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1264
Spandau,600,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1265
Spandau,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1266
Spandau,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1267
Lichtenberg,800,W - Wohngebiet,2026-01-01,,,1.3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1268
