place_id,name,rating,lat,lng,type,review_text,review_rating,review_time,review_author
ChIJVQor_phTqEcRiP4h8FbhySw,DHL Packstation 706,3,52.5700346,13.4042977,DHL Packstation,"Update: Die Öffnungszeiten sind inzwischen angepasst bei Google. //Die Öffnungszeiten („rund um die Uhr“) sind immer noch falsch. Diese orientieren sich an den Öffnungszeiten des Rathauscenters bzw. an denen von Kaufland (täglich 7-22 Uhr, sonntags geschlossen), ansonsten kommt man nämlich nicht rein ins Center, wo im Untergeschoss die Packstation ist.",5,vor einem Monat,A. S.
ChIJVQor_phTqEcRiP4h8FbhySw,DHL Packstation 706,3,52.5700346,13.4042977,DHL Packstation,"Rund um die Uhr geöffnet ist gelogen. Bin 4 KM umsonst gefahren.
Es ist im Rathaus-Center und man kommt nur zu dessen Öffnungszeiten an die Station :-(",1,vor einem Jahr,R. H.
ChIJVQor_phTqEcRiP4h8FbhySw,DHL Packstation 706,3,52.5700346,13.4042977,DHL Packstation,,1,vor einem Jahr,Sebastian Eichermüller
ChIJVQor_phTqEcRiP4h8FbhySw,DHL Packstation 706,3,52.5700346,13.4042977,DHL Packstation,,5,vor 2 Jahren,S K
ChIJFUqf8W9TqEcRn5ZSyAKWtWU,DHL Packstation 125,4.1,52.560652,13.4137004,DHL Packstation,Super Packstation mit einer netten Nachbarin also einer zweiten Packstation namens 219,5,vor 2 Jahren,David Lorenz
ChIJFUqf8W9TqEcRn5ZSyAKWtWU,DHL Packstation 125,4.1,52.560652,13.4137004,DHL Packstation,Nervig sind die DHL Fahrzeuge die in der Einfahrt stehen obwohl ausreichend Platz zur Verfügung steht 😐,2,vor einem Jahr,Mario Mandla
ChIJFUqf8W9TqEcRn5ZSyAKWtWU,DHL Packstation 125,4.1,52.560652,13.4137004,DHL Packstation,Der Ort ist gut gelegen. Nur nicht immer klappt die Zustellung,5,vor 5 Jahren,Heidi Julich
ChIJFUqf8W9TqEcRn5ZSyAKWtWU,DHL Packstation 125,4.1,52.560652,13.4137004,DHL Packstation,Sehr gut und alles bamte Sehr net,5,vor 4 Jahren,mohamad mankash
ChIJFUqf8W9TqEcRn5ZSyAKWtWU,DHL Packstation 125,4.1,52.560652,13.4137004,DHL Packstation,Halt eine Packstation,2,vor 4 Jahren,Michael Postier
ChIJb2ZY9qhTqEcRMQvILkHovC8,DHL Packstation 547,4.7,52.5737675,13.3985718,DHL Packstation,"Leider ist der Scanner sehr klein und es gibt manchmal Probleme beim scannen des Code, ansonsten ist die packstation richtig groß und da es auf dem Parkplatz vom Lidl ist , ist es prima das man einen Parkplatz hat und entspannt die Station besuchen kann …. Also vielleicht am Scanner noch basteln und dann ist es richtig gut ….",4,vor 4 Jahren,karschulz
